regiao,cultura,area_plantada,producao,produtividade,qualidade,tamanho_propriedade
Sudeste,Soja,1200,3600,3.0,Boa,Grande
Sul,Milho,800,4000,5.0,Excelente,Media
Centro-Oeste,Soja,1500,4500,3.0,Boa,Grande
Nordeste,Feijao,300,600,2.0,Regular,Pequena
Norte,Mandioca,400,1200,3.0,Boa,Pequena
Sudeste,Cafe,250,750,3.0,Excelente,Media
Sul,Trigo,600,1800,3.0,Boa,Media
Centro-Oeste,Algodao,900,2700,3.0,Excelente,Grande
Sudeste,Cana,2000,160000,80.0,Boa,Grande
Nordeste,Milho,500,1500,3.0,Regular,Pequena
Sul,Soja,1100,3300,3.0,Excelente,Grande
Centro-Oeste,Milho,1300,6500,5.0,Boa,Grande
Norte,Arroz,350,1050,3.0,Regular,Media
Sudeste,Laranja,180,5400,30.0,Excelente,Media
Nordeste,Coco,200,600,3.0,Boa,Pequena
Sul,Feijao,400,800,2.0,Boa,Media
Centro-Oeste,Soja,1600,4800,3.0,Excelente,Grande
Sudeste,Milho,950,4750,5.0,Boa,Grande
Norte,Banana,150,1500,10.0,Regular,Pequena
Nordeste,Algodao,280,840,3.0,Regular,Media
Sul,Cana,800,64000,80.0,Excelente,Grande
Centro-Oeste,Cafe,320,960,3.0,Boa,Media
Sudeste,Soja,1400,4200,3.0,Excelente,Grande
Norte,Cacau,220,660,3.0,Boa,Pequena
Nordeste,Cana,600,48000,80.0,Regular,Media
Sul,Arroz,450,1350,3.0,Boa,Media
Centro-Oeste,Trigo,550,1650,3.0,Regular,Grande
Sudeste,Feijao,380,760,2.0,Boa,Media
Norte,Milho,290,1450,5.0,Regular,Pequena
Nordeste,Soja,850,2550,3.0,Regular,Media
Sul,Cafe,270,810,3.0,Excelente,Media
Centro-Oeste,Cana,1800,144000,80.0,Boa,Grande
